2023-02-13 00:02:205 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:303 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (04819f111ec72df9b4bd95ebcc4440d7)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:625 INFO  HomePage :57 - click on job titleTester
2023-02-13 00:02:763 INFO  HomePage :61 - Click on Location Harrow on the Hill,Greater London
2023-02-13 00:02:17 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:248 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:340 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:669 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:731 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:805 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:893 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (b2d28f3c2566501adea32c1ce13c866e)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:97 INFO  HomePage :57 - click on job titleDevelopment Manager
2023-02-13 00:02:239 INFO  HomePage :61 - Click on Location Wembley,Greater London
2023-02-13 00:02:596 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:724 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:889 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:133 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:190 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:256 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:339 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (694ecc8071513d0eabec50a823e6ffd4)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:156 INFO  HomePage :57 - click on job titleTeacher
2023-02-13 00:02:280 INFO  HomePage :61 - Click on Location Edgware,Greater London
2023-02-13 00:02:456 INFO  HomePage :65 - clicking on distance[[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //select[@id='distance']]
2023-02-13 00:02:851 INFO  HomePage :70 - Clicking on More Search Option link [[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //button[@id='toggle-hp-search']]
2023-02-13 00:02:51 INFO  HomePage :74 - click on min salary [[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //input[@id='salarymin']]
2023-02-13 00:02:284 INFO  HomePage :78 - click on max salary [[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //input[@id='salarymax']]
2023-02-13 00:02:347 INFO  HomePage :82 - click on salary type [[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //select[@id='salarytype']]
2023-02-13 00:02:408 INFO  HomePage :86 - click on job type[[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //select[@id='tempperm']]
2023-02-13 00:02:493 INFO  HomePage :90 - Clicking on Find Jobs Button[[ChromeDriver: chrome on WINDOWS (801694f9f25da7143590087541db6545)] -> xpath: //input[@id='hp-search-btn']]
2023-02-13 00:02:730 INFO  HomePage :57 - click on job titleStore Manager
2023-02-13 00:02:865 INFO  HomePage :61 - Click on Location Stanmore,Greater London
